Performer,Song,spotify_genre
Frankie Avalon,Where Are You,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll']"
Dennis Yost And The Classics IV,Where Did All The Good Times Go,[]
Dee Dee Sharp,Where Did I Go Wrong,"['brill building pop', 'classic girl group', 'doo-wop', 'motown', 'philly soul', 'rhythm and blues']"
Donnie Elbert,Where Did Our Love Go,"['classic soul', 'northern soul']"
The J. Geils Band,Where Did Our Love Go,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'new wave pop', 'power pop', 'rock', 'roots rock', 'soft rock']"
The Supremes,Where Did Our Love Go,"['adult standards', 'brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
Dick and DeeDee,Where Did The Good Times Go,
Elvis Presley,"Where Did They Go, Lord/Rags To Riches","['adult standards', 'rock-and-roll', 'rockabilly']"
Frankie Valli & Chris Forde,Where Did We Go Wrong,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']"
Wham!,Where Did Your Heart Go?,"['dance rock', 'new wave pop']"
One Direction,Where Do Broken Hearts Go,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']"
Whitney Houston,Where Do Broken Hearts Go,"['dance pop', 'pop', 'r&b']"
The Happenings,Where Do I Go/Be-In/Hare Krishna,"['brill building pop', 'bubblegum pop', 'merseybeat']"
Carla Thomas,Where Do I Go,"['classic soul', 'memphis soul', 'motown', 'soul', 'southern soul']"
Hooters,Where Do The Children Go,"['album rock', 'mellow gold', 'philly indie', 'soft rock']"
Solo,Where Do U Want Me To Put It,"['atl trap', 'dfw rap', 'new orleans rap']"
Vanessa Williams,"Where Do We Go From Here (From ""Eraser"")","['quiet storm', 'urban contemporary']"
Deborah Cox,Where Do We Go From Here,"['canadian pop', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary', 'vocal house']"
Filter,Where Do We Go From Here,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'industrial rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']"
Elvis Presley With The Jordanaires,Where Do You Come From,
Peter Sarstedt,Where Do You Go To (My Lovely),['british folk']
Cher,Where Do You Go,"['dance pop', 'hollywood', 'new wave pop', 'pop']"
No Mercy,Where Do You Go,"['boy band', 'eurodance', 'europop', 'hip house']"
Freddie Scott,Where Does Love Go,['southern soul']
Celine Dion,Where Does My Heart Beat Now,"['canadian pop', 'dance pop']"
George LaMond,Where Does That Leave Love,['freestyle']
David Gates,Where Does The Lovin' Go,"['adult standards', 'classic uk pop', 'country rock', 'mellow gold', 'soft rock']"
Terry Ellis,Where Ever You Are,[]
Gary Portnoy,"Where Everybody Knows Your Name (The Theme From ""Cheers"")",[]
The Poppy Family,Where Evil Grows,"['bubblegum pop', 'canadian psychedelic', 'classic canadian rock', 'psychedelic folk']"
Bill Anderson,Where Have All Our Heroes Gone,['nashville sound']
Paula Cole,Where Have All The Cowboys Gone?,"['ectofolk', 'folk', 'lilith', 'new wave pop', 'pop rock']"
Johnny Rivers,Where Have All The Flowers Gone,"['brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'soft rock']"
The Kingston Trio,Where Have All The Flowers Gone,"['american folk revival', 'bubblegum pop', 'folk', 'folk rock', 'traditional folk']"
Jimmy Beaumont And The Skyliners,Where Have They Gone,
Arthur Alexander,Where Have You Been (All My Life),['southern soul']
Fotomaker,Where Have You Been All My Life,[]
Rihanna,Where Have You Been,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
Alan Jackson,Where I Come From,"['contemporary country', 'country', 'country road']"
Montgomery Gentry,Where I Come From,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock', 'redneck']"
The Capris,Where I Fell In Love,"['doo-wop', 'rhythm and blues']"
Missjones,Where I Wanna Be Boy,[]
Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,Where I Wanna Be,
Donell Jones,Where I Wanna Be,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Jason Michael Carroll,Where I'm From,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
The Vanilla Fudge,Where Is My Mind,
The Black Eyed Peas,Where Is The Love?,"['dance pop', 'pop', 'pop rap']"
Betty Wright,Where Is The Love,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Roberta Flack & Donny Hathaway,Where Is The Love,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Helena Ferguson,Where Is The Party,
Dustin Lynch,"Where It's At (Yep, Yep)","['contemporary country', 'country', 'country road', 'modern country rock']"
Beck,Where It's At,"['alternative rock', 'anti-folk', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock']"
Jack Jones,Where Love Has Gone,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
702,Where My Girls At?,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Dion & The Belmonts,Where Or When,"['canadian pop', 'dance pop']"
The Lettermen,Where Or When,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'vocal harmony group']"
Gladys Knight And The Pips,Where Peaceful Waters Flow,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Keith Urban,Where The Blacktop Ends,"['australian country', 'contemporary country', 'country', 'country road']"
Tommy Mara,Where The Blue Of The Night,[]
Connie Francis,Where The Boys Are,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
Tim McGraw,Where The Green Grass Grows,"['contemporary country', 'country', 'country road']"
DMX,Where The Hood At?,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Jagged Edge With Nelly,Where The Party At,
Aaron Tippin,Where The Stars And Stripes And The Eagle Fly,"['country', 'country road', 'country rock', 'redneck']"
Pet Shop Boys,Where The Streets Have No Name,"['art pop', 'dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
U2,Where The Streets Have No Name,"['irish rock', 'permanent wave', 'rock']"
Jonathan King,Where The Sun Has Never Shone,"['classic uk pop', 'merseybeat']"
David Guetta Featuring Flo Rida & Nicki Minaj,Where Them Girls At,"['dance pop', 'edm', 'pop']"
Delaney & Bonnie,Where There's A Will There's A Way,"['canadian electropop', 'indie electropop']"
Lloyd Price,Where Were You (On Our Wedding Day)?,"['adult standards', 'brill building pop', 'doo-wop', 'louisiana blues', 'memphis blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
Alan Jackson,Where Were You (When The World Stopped Turning),"['contemporary country', 'country', 'country road']"
Jerry Vale,Where Were You When I Needed You,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
The Grass Roots,Where Were You When I Needed You,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'merseybeat', 'soft rock', 'sunshine pop']"
Lobo,Where Were You When I Was Falling In Love,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Gary Lewis And The Playboys,Where Will The Words Come From,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
Buckeye,Where Will Your Heart Take You,[]
Martina McBride,Where Would You Be,"['contemporary country', 'country', 'country dawn', 'country road']"
Future Featuring Drake,Where Ya At,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Jessica Simpson Featuring Nick Lachey,Where You Are,"['dance pop', 'post-teen pop']"
Jennifer Hudson,Where You At,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
The Weeknd,Where You Belong,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Damn Yankees,Where You Goin' Now,"['album rock', 'glam metal', 'hard rock', 'rock']"
Barbra Streisand,Where You Lead,"['adult standards', 'hollywood', 'mellow gold', 'soft rock']"
Fort Minor Featuring Holly Brook,Where'd You Go,"['pop rap', 'rap rock']"
Glen Campbell,Where's The Playground Susie,"['adult standards', 'arkansas country', 'brill building pop', 'bubblegum pop', 'classic country pop', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'lounge', 'mellow gold', 'nashville sound', 'soft rock']"
Lani Hall,Where's Your Angel?,[]
The Platters,Where,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']"
OneRepublic,Wherever I Go,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']"
Paul Young,Wherever I Lay My Hat (That's My Home),"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Metallica,Wherever I May Roam,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
Cheap Trick,Wherever Would I Be,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'power pop', 'rock', 'soft rock']"
Jack Ingram,Wherever You Are,"['country road', 'texas country']"
Voices Of Theory,Wherever You Go,['boy band']
The Calling,Wherever You Will Go,"['neo mellow', 'pop rock', 'post-grunge']"
The Poppy Family (Featuring Susan Jacks),Which Way You Goin' Billy?,"['bubblegum pop', 'canadian psychedelic', 'classic canadian rock', 'psychedelic folk']"
Maze Featuring Frankie Beverly,While I'm Alone,"['funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Rascal Flatts,While You Loved Me,"['contemporary country', 'country', 'country road']"
Steve Winwood,While You See A Chance,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'new romantic', 'new wave pop', 'pop rock', 'rock', 'soft rock', 'symphonic rock']"
The Honey Cone,While You're Out Looking For Sugar?,
Kat DeLuna Featuring Elephant Man,Whine Up,"['dance pop', 'pop rap', 'post-teen pop']"
Willi One Blood,"Whiney, Whiney (From ""Dumb And Dumber"")",[]
Babyface,Whip Appeal,"['dance pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Jessie Hill,Whip It On Me,"['louisiana blues', 'new orleans blues']"
Devo,Whip It,"['alternative rock', 'art rock', 'dance rock', 'experimental rock', 'garage rock', 'new romantic', 'new wave', 'post-punk', 'punk', 'synth punk', 'synthpop', 'zolo']"
Willow,Whip My Hair,"['dance pop', 'electropop', 'pop']"
2 Chainz Featuring Travis Scott,Whip,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Herb Alpert's Tijuana Brass,Whipped Cream,
Jon Secada,Whipped,['soft rock']
Oxo,Whirly Girl,[]
Toby Keith,Whiskey Girl,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Morgan Wallen,Whiskey Glasses,"['contemporary country', 'country road', 'deep talent show']"
Morgan Wallen,Whiskey Glasses,"['contemporary country', 'country road', 'deep talent show']"
Tyler Farr,Whiskey In My Water,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
Brad Paisley Featuring Alison Krauss,Whiskey Lullaby,"['contemporary country', 'country', 'country road']"
Morgan Wallen,Whiskey'd My Way,['contemporary country']
Jana Kramer,Whiskey,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'modern country rock']"
Dionne Warwick,Whisper In The Dark,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Icicle Works,Whisper To A Scream (Birds Fly),"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Chase Rice,Whisper,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
Dr. Buzzard's Original Savannah Band,Whispering/Cherchez La Femme/Se Si Bon,['disco']
Nino Tempo & April Stevens,Whispering,[]
Jackie Wilson,Whispers (Gettin' Louder),"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
Mumford & Sons,Whispers In The Dark,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']"
Corina,Whispers,['pop reggaeton']
Ying Yang Twins,Whistle While You Twurk,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Flo Rida,Whistle,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']"
"""Weird Al"" Yankovic",White & Nerdy,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
David Laflamme,White Bird,[]
"Bobby Pedrick, Jr.",White Bucks And Saddle Shoes,[]
Bing Crosby,White Christmas,"['adult standards', 'easy listening']"
The Drifters Featuring Clyde McPhatter And Bill Pinkney,White Christmas,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
Dido,White Flag,"['dance pop', 'new wave pop', 'pop rock']"
Laid Back,White Horse,['classic danish pop']
Taylor Swift,White Horse,"['pop', 'post-teen pop']"
Red Rider,White Hot,"['album rock', 'classic canadian rock']"
Eric Burdon & The Animals,White Houses,"['blues rock', 'british blues', 'classic rock', 'psychedelic rock']"
Vanessa Carlton,White Houses,"['acoustic pop', 'dance pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock']"
Post Malone,White Iverson,"['dfw rap', 'melodic rap', 'rap']"
Miranda Lambert,White Liar,"['contemporary country', 'country', 'country dawn', 'country road']"
Bullet,"White Lies, Blue Eyes","['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'uk metalcore', 'welsh metal']"
Grin,White Lies,"['deathcore', 'melodic metalcore', 'metalcore', 'screamo']"
George Jones,White Lightning,"['country', 'country rock', 'honky tonk']"
Riff,White Men Can't Jump,"['trap', 'underground hip hop']"
Danny Williams,White On White,['merseybeat']
Jefferson Airplane,White Rabbit,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'roots rock']"
Cream,White Room,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']"
"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",White Sand,"['atl hip hop', 'pop rap', 'rap', 'trap']"
Bill Black's Combo,White Silver Sands,[]
Dem Franchize Boyz,White Tee's,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
YoungBoy Never Broke Again,White Teeth,"['baton rouge rap', 'trap']"
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,White Walls,['pop rap']
Billy Idol,White Wedding,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']"
"Hagar, Schon, Aaronson, Shrieve",Whiter Shade Of Pale,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'metal', 'rock', 'soft rock']"
R.B. Greaves,Whiter Shade Of Pale,[]
Beenie Man,Who Am I,"['dancehall', 'reggae fusion', 'soca']"
Petula Clark,Who Am I,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll']"
The DeCastro Sisters,Who Are They To Say,['deep adult standards']
Blake Shelton,Who Are You When I'm Not Looking,"['contemporary country', 'country', 'country road', 'oklahoma country']"
B.B. King,Who Are You,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']"
The Who,Who Are You,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'protopunk', 'rock', 'roots rock']"
Jonn Hart Featuring IamSU!,Who Booty,"['deep pop r&b', 'slow game']"
